id,name,parent_category_id
79,Энергетические напитки,74
80,Квас,74
81,Безалкогольное пиво,74
82,Безалкогольное вино,74
83,Сиропы для коктейлей,74
84,"Овощи, зелень, грибы",1
85,Свежие овощи,84
86,Замороженные овощи и смеси,84
87,Овощные полуфабрикаты,84
88,Грибы,84
89,"Зелень, салаты, смеси",84
90,Фрукты и ягоды,1
91,Свежие фрукты ,90
92,Ягоды,90
93,Замороженные фрукты и ягоды,90
94,"Сухофрукты, орехи, семечки",1
95,Орехи,94
96,Сухофрукты,94
97,Семечки,94
98,Фруктово-ореховые смеси,94
99,Готовые блюда и полуфабрикаты,1
100,Все для суши,99
101,Еда быстрого приготовления,99
102,Готовые блюда,99
103,Салаты,99
104,Супы и вторые блюда,99
105,Пельмени и вареники,99
106,Котлеты,99
107,Пицца,99
108,Блины,99
109,Готовые и сухие завтраки,99
110,Замороженные полуфабрикаты,99
111,Замороженные полуфабрикаты,99
112,Рыба и морепродукты,1
113,Икра,112
114,Рыбные деликатесы,112
115,Рыба охлажденная,112
116,Рыба замороженная,112
117,Полуфабрикаты из рыбы,112
118,Морепродукты,112
119,Мясо и птица,1
120,Мясо охлажденное,119
121,Мясо замороженное,119
122,Мясо птицы,119
123,Полуфабрикаты из мяса,119
124,Полуфабрикаты из птицы,119
125,Субпродукты,119
126,"Чай, кофе, какао",1
127,Чай,126
128,Кофе,126
129,Какао,126
130,Цикорий,126
131,"Соусы, специи и приправы",1
132,Соусы и кетчуп,479
133,Горчица и хрен,479
134,Майонез,479
135,Томатная паста,479
136,Приправы,479
137,Специи и пряности,479
138,Детские товары,0
139,Детское питание,138
140,Каши,139
141,Пюре,139
142,Детские молочные продукты ,139
143,Сухие завтраки и печенье,139
144,Соки и напитки,139
145,Заменители молока и смеси,139
146,Детская вода,139
147,Ежедневный уход,138
148,Зубная паста детская,147
149,Зубные щетки детские,147
150,Шампуни и гели,147
151,"Крема, масла и лосьоны",147
152,Подгузники и трусики,147
153,Пеленки,147
154,Присыпка и тальк,147
155,Салфетки очищающие,147
156,Игры и игрушки,138
157,Игрушки для новорожденных,156
158,Куклы и аксессуары,156
159,Игрушечный транспорт,156
160,Детские музыкальные инструменты,156
161,Игрушечное оружие,156
162,Мягкие игрушки,156
163,Игровые наборы,156
164,Игровые фигурки,156
165,Конструкторы Lego,156
166,Конструкторы,156
167,Пазлы и мозаика,156
168,Настольные игры,156
169,Хобби и творчество,138
170,Рисование,169
171,Лепка,169
172,"Рукоделие, декор, поделки",169
173,Детская посуда,138
174,Косметика и гигиена,0
175,Средства для волос,174
176,Маски и уходовые средства для волос,175
177,Средства для укладки волос,175
178,Средства для окрашивания волос,175
179,Шампуни,175
180,Бальзамы и кондиционеры,175
181,Аксессуары для волос,175
182,Средства для лица,174
183,Средства для умывания,182
184,"Скрабы, пилинги, маски",182
185,Средства для снятия макияжа,182
186,Лосьоны и тоники,182
187,Кремы для лица,182
188,Средства для кожи вокруг глаз,182
189,Средства для губ,182
190,Специальные средства для лица,182
191,Средства для тела,174
192,Гели для душа,191
193,Скрабы и пилинги для тела,191
194,"Кремы, лосьоны и молочко для тела",191
195,Дезодоранты,191
196,Пена и соль для ванн,191
197,Мочалки и губки,191
198,"Средства для рук, ног и ногтей",174
199,Принадлежности для маникюра и педикюра,198
200,Кремы для рук и ногтей,198
201,"Маски, скрабы и масла для рук и ногтей",198
202,Кремы для ног,198
203,"Маски, скрабы и масла для ног",198
204,Средства для полости рта,174
205,Зубные пасты,204
206,Зубные щетки и нити,204
207,Ополаскиватели для полости рта,204
208,Средства для бритья и депиляции,174
209,Бритвы,208
210,Гели и пены для бритья,208
211,Средства после бритья,208
212,Мужские бритвы,208
213,Женские бритвы,208
214,Средства для депиляции,208
215,Наборы для бритья,208
216,Интимная гигиена,174
217,Женские прокладки и тампоны,216
218,"Презервативы, лубриканты, тесты",216
219,Урологические товары,216
220,Средства для интимной гигиены,216
221,Ватно-бумажная продукция,174
222,Туалетная бумага,221
223,Бумажные полотенца,221
224,Бумажные платки и салфетки,221
225,Ватные диски и палочки ,221
226,Влажные салфетки,221
227,Солнцезащитные средства,174
228,Средства для защиты от солнца,227
229,Средства для загара,227
230,Средства после загара,227
231,Косметические наборы,174
232,Мыло,174
233,Хозяйственное мыло,232
234,Туалетное мыло,232
235,Детское мыло,232
236,Кремы,174
237,Бытовая химия,0
238,Средства для мытья посуды,237
239,Бумажная продукция,237
240,"Дом, интерьер, кухня",237
241,Средства от насекомых,237
242,Бумага туалетная,239
243,Стирка и уход за одеждой,237
244,Гели для стирки,243
245,Средства для смягчения воды,243
246,Стиральные порошки,243
247,Жидкие средства для стирки,243
248,Капсулы и таблетки для стирки,243
249,Кондиционеры и ополаскиватели для белья,243
250,Отбеливатели и пятновыводители,243
251,Средства по уходу за бельем,243
252,Чистящие и моющие средства,237
253,Средства для мытья полов,252
254,Средства для мытья стекол,252
255,Средства для кухни,252
256,Средства для мебели и ковров,252
257,Средства для сантехники,252
258,Средства для бытовой техники,252
259,Средства для прочистки труб,252
260,Универсальные средства,252
261,Средства для посудомоечных машин,252
262,Средства для мытья посуды,252
263,Освежители воздуха,237
264,Аэрозольные,263
265,Гелевые,263
266,Спреи,263
267,Ароматизированные свечи,263
268,Товары для дома,0
269,Товары для ванной и бани,268
270,Туалетная бумага,269
271,Бумажные полотенца,269
272,Бумажные платки и салфетки,269
273,Освещение и электропитание,268
274,Батарейки,273
275,Аккумуляторы,273
276,Сетевые фильтры,273
277,Удлинители,273
278,Хозяйственные товары,268
279,Товары для уборки,268
280,"Губки, тряпки",279
281,Перчатки,279
282,"Совки, веники, щетки, ершики",279
283,"Тазы, ведра",279
284,Швабры и насадки,279
285,Мешки для мусора,279
286,Уход за обувью и одеждой,268
287,Средства от насекомых и грызунов,268
288,"Крема, губки, щетки",286
289,Стельки,286
290,Товары для кухни,0
291,Посуда для приготовления,290
292,Кастрюли и ковши,291
293,"Сковороды, сотейники, воки",291
294,Крышки для посуды,291
295,Наборы посуды для приготовления,291
296,Противни и формы для выпечки,291
297,Аксессуары для выпечки,291
298,Поддоны и гастроемкости,291
299,"Чайники, турки, кофеварки",291
300,Заварочные чайники и френч-прессы,291
301,Аксессуары для приготовления напитков,291
302,Фильтры для воды,291
303,Кухонные инструменты и аксессуары,290
304,Кухонные ножи,303
305,Разделочные доски,303
306,Кухонные аксессуары,303
307,Дуршлаги и сита,303
308,Овощерезки и терки,303
309,"Лопатки, ложки и шумовки",303
310,"Прессы, молотки, скалки",303
311,Штопоры и открывалки,303
312,Подставки и прихватки,303
313,Наборы кухонных принадлежностей,303
314,"Спички, зажигалки",303
315,Расходные материалы,290
316,Бумажные полотенца,315
317,Бумажные платки и салфетки,315
318,Фольга,315
319,Бумага и пакеты для приготовления,315
320,Пакеты и пищевая пленка,315
321,Сервировка стола,290
322,Заварочные чайники и френч-прессы,321
323,Аксессуары для приготовления напитков,321
324,Термосы и термокружки,321
325,Столовые приборы,321
326,"Кружки, чашки и пары",321
327,Наборы и сервизы,321
328,Скатерти,321
329,Бокалы и стаканы,321
330,Графины и кувшины,321
331,Тарелки и пиалы,321
332,"Блюда, салатники и миски",321
333,Посуда для десертов,321
334,Наборы столовой посуды,321
335,Предметы сервировки,321
336,Хранение продуктов,290
337,Фольга,336
338,Ланч-боксы и контейнеры,336
339,Банки и емкости,336
340,Корзины и хлебницы,336
341,Подносы и поддоны,336
342,Аксессуары для хранения,336
343,Одноразовая посуда,290
344,Товары для животных,0
345,Корма и лакомства,344
346,Корм для собак,345
347,Корм для кошек,345
348,Корм для собак,345
349,Корм для грызунов,345
350,Наполнитель,344
351,Уход за животными,344
352,Наполнитель для кошек,350
353,Наполнители для кошек,350
354,Наполнители и сено для грызунов,350
355,Аксессуары для животных,344
356,Канцелярские товары,0
357,Техника,356
358,Бумага и бумажные изделия,356
359,Бумага для печати,358
360,Бумажные изделия,358
361,Почтовые конверты и пакеты,358
362,"Бухгалтерские книги, бланки, формы",358
363,Ролики и чековая лента,358
364,Самоклеящиеся этикетки,358
365,Письменные и чертежные принадлежности,356
366,"Ручки, роллеры, линеры",365
367,Маркеры и фломастеры,365
368,Карандаши,365
369,"Ластики, точилки, линейки",365
370,Корректоры для текста,365
371,Футляры для ручек,365
372,Хранение документов,356
373,Папки и файлы,372
374,Разделители,372
375,Самоклеящиеся карманы и этикетки для папок,372
376,Расходные материалы для архивации,372
377,Канцелярские инструменты,356
378,Расходные канцтовары,356
379,Канцелярские ножницы и ножи,377
380,Степлеры и скобы,377
381,Дыроколы,377
382,Организация рабочего места,356
383,Канцелярские мелочи,378
384,Клей,378
385,Клейкие ленты и держатели,378
386,Штемпельная продукция,356
387,Настольные подставки и наборы,382
388,Лотки и накопители для бумаг,382
389,Штампы и печати,386
390,Расходные материалы для печатей,386
391,Подарки и украшения,0
392,Новогодние товары,391
393,Елки,392
394,Елочные украшения,392
395,Гирлянды,392
396,Новогодний декор,392
397,Подарки,391
398,Открытки,397
399,Продуктовые подарочные наборы,397
400,Подарочная упаковка,397
401,Ленты и верёвка,397
402,Сувениры,397
403,Товары для праздников,391
404,Карнавальные костюмы,403
405,Аксессуары для вечеринок,403
406,Электроника,0
407,Периферия и аксессуары для компьютеров,406
408,Мыши,407
409,Клавиатуры,407
410,Комплекты клавиатура и мышь,407
411,USB-флешки,407
412,Карты памяти,407
413,Компьютерная техника,407
414,Компьютерные аксессуары,407
415,Внешние жесткие диски,407
416,Сетевые фильтры,407
417,Удлинители,407
418,Электропитание и освещение,406
419,Оргтехника,406
420,Батарейки,418
421,Аккумуляторы,418
422,Лампочки,418
423,"Картриджи, тонеры",419
424,Телефоны и факсы,419
425,Аксессуары для телефонов,419
426,Программы,419
427,Офисная техника,419
428,Туризм и отдых,0
429,Товары для пикника,428
430,Сумки-холодильники,429
431,"Грили, мангалы, барбекю",429
432,Шампуры и решетки,429
433,Инструмент для барбекю,429
434,Средства для розжига,429
435,Уголь и дрова,429
436,Термосы и термокружки,429
437,Изотермические сумки и контейнеры,429
438,Аккумуляторы температуры,429
439,Туристическая посуда,429
440,Походная мебель,428
441,Столы и стулья,440
442,Шезлонги,440
443,Гамаки,440
444,Надувные кровати и матрацы,440
445,Шкафы и стеллажи,440
446,Туристическое снаряжение,428
447,Палатки и навесы,446
448,Спальные мешки,446
449,Коврики и сидушки,446
450,Фонари и лампы,446
451,Складные ножи и мультитулы,446
452,Шнуры и канаты,446
453,Алкоголь,0
454,Абсент,453
455,Бренди,453
456,Виски,453
457,"Водка, саке, граппа",453
458,Джин,453
459,Кальвадос,453
460,Коньяк,453
461,"Ликер, настойки",453
462,Ром,453
463,Текила,453
464,Вино,453
465,Шампанское и игристое вино,453
466,Пиво,453
467,Все для школы,0
468,Книги,0
469,Автотовары,0
470,Багаж,0
471,Все для ремонта,0
472,Бытовая техника,0
473,Аксессуары,0
474,Дача и сад,0
475,Спортивные товары,0
476,"Одежда, обувь, аксессуары",0
477,Текстиль для дома,0
478,Аптека,0
479,"Соусы, специи и приправы",1
480,Сыры и колбасы,1
481,Хлеб и кондитерские изделия,1
482,"Фрукты, ягоды, орехи",1
483,Коктейли,453
484,Демонстрационное оборудование,356
485,"Телевизоры, аудио, видео",406
486,Торгово-банковское оборудование,406
487,Мебель,268
488,Интерьер и декор,268
489,"Портфели, сумки и пеналы",467
490,Школьные принадлежности,467
491,Товары для творчества,467
492,Художественная литература,468
493,Детская литература,468
494,"Красота, здоровье и спорт",468
495,"Философия, религия, эзотерика",468
496,Психология и саморазвитие,468
497,"Дом, хобби, досуг",468
498,Бизнес-литература,468
499,Образование,468
500,Культура и искусство,468
501,"Журналы, газеты",468
502,Масла и автохимия,469
503,Покраска авто,469
504,Уход за авто,469
505,Автомобильные аксессуары,469
506,Автомобильные гаджеты,469
507,Автозапчасти,469
508,Шины и диски,469
509,Средства безопасности,469
510,Сумки,470
511,Чемоданы,470
512,Рюкзаки,470
513,Чехлы для чемоданов,470
514,Ручные инструменты,471
515,Электроинструменты,471
516,Силовая техника,471
517,Клининговое оборудование,471
518,Измерительные инструменты,471
519,Климатическое оборудование,471
520,Прочие инструменты,471
521,Крепеж,471
522,"Лакокрасочные материалы, декор",471
523,Сантехника,471
524,Средства защиты,471
525,Хозяйственные товары,471
526,Фурнитура,471
527,Техника для уборки,472
528,Техника для стирки и ухода за одеждой,472
529,Климатическая техника,472
530,Крупная техника для кухни,472
531,Встраиваемая техника,472
532,Мелкая техника для кухни,472
533,Красота и здоровье,472
534,"Портмоне, кошельки",473
535,Визитницы,473
536,Обложки для документов,473
537,"Брелоки, ключницы",473
538,"Очки, оправы, аксессуары",473
539,Защита сада,474
540,Ирригация,474
541,Садовая мебель,474
542,Освещение сада,474
543,Отдых на открытом воздухе,474
544,Семена и подкормка для сада,474
545,Садовые конструкции,474
546,Украшение сада,474
547,Уход за садом,474
548,Все для рыбалки,475
549,Водные виды спорта,475
550,"Велоспорт, самокаты, скейты, ролики",475
551,Зимние виды спорта,475
552,Спортивные игры,475
553,Спортивная атрибутика,475
554,"Фитнес, аэробика, танцы",475
555,"Носки, гольфы, гетры",476
556,"Колготки, чулки",476
557,Трусы,476
558,Постельное белье,477
559,"Покрывала, пледы",477
560,"Матрасы, наматрасники",477
561,Одеяла,477
562,Подушки,477
563,Полотенца,477
564,"Ковры, коврики",477
565,"Шторы, жалюзи",477
566,"Скатерти, салфетки",477
567,"Фартуки, прихватки",477
568,Халаты,477
569,Лекарственные препараты,478
570,Витамины и БАД,478
571,Медицинские изделия и приборы,478
572,Оптика,478
573,"Сухофрукты, орехи, семечки",482
574,Сахар и сахарозаменители,9
575,Соль,9
576,Отруби и клетчатка,9
577,Мука,9
578,Все для выпечки и десертов,9
579,Готовые смеси для выпечки и десертов,9
580,Крупы,9
581,Макаронные изделия и паста,9
582,"Хлопья, мюсли, сухие завтраки",9
583,Соусы,479
584,Томатная паста,479
585,Кетчуп,479
586,Майонез,479
587,"Горчица, хрен, аджика",479
588,Маринады и уксус,479
589,Приправы,479
590,Специи и пряности,479
591,Свежие ягоды,90
592,Замороженные фрукты и ягоды,90
593,Сосиски и сардельки,42
594,Мясные деликатесы и копчености,42
595,Паштеты,42
596,"Хлеб, тосты, лаваш",51
597,Хлебцы,51
598,"Булочки, пироги, выпечка",51
599,"Сухари, баранки, сушки",51
600,"Печенье, пряники, вафли",56
601,Торты и пирожные,56
602,Мед,67
603,Пасты и урбеч,67
604,Варенье и джем,67
605,"Халва, козинаки, пахлава",56
606,"Жевательные резинки, леденцы, драже",56
607,Творог и творожная масса,20
608,Творожки и десерты,20
609,Сырки и пирожные,20
610,Чипсы,19
611,Сухарики и гренки,19
612,"Попкорн, кукурузные палочки, воздушные снеки",19
613,Снеки из рыбы и морепродуктов,19
614,Мясные и сырные снеки,19
615,Сыры твердые и полутвердые,480
616,Сыры мягкие и плавленые,480
617,Сыры копченые,480
618,Сыры для фондю,480
619,Сыры рассольные и брынза,480
620,Сыры с плесенью,480
621,Сырные тарелки,480
622,Мясные консервы,67
623,Готовые консервированные блюда,67
624,Консервы из рыбы и морепродуктов,67
625,Овощные консервы и соленья,67
626,"Оливки, маслины, каперсы",67
627,Консервированные фрукты и ягоды,67
628,Грибные соленья и консервы,67
629,Сиропы,67
630,"Соки, нектары и морсы",74
631,Холодный чай,74
632,Безалкогольное пиво,74
633,Безалкогольное вино,74
634,Энергетические напитки,74
635,Замороженные овощи и фрукты,84
636,"Зелень, салаты, смеси",84
637,Грибы,84
638,Замороженные овощи и смеси,84
639,Супы и основые блюда,99
640,Салаты и закуски,99
641,"Блины, оладьи, сырники",99
642,Бутерброды и сэндвичи,99
643,"Пельмени, манты, вареники",99
644,Пицца,99
645,Замороженная выпечка и хлеб,99
646,Замороженное тесто и основа,99
647,Рыба,112
648,Морепродукты,112
649,Икра,112
650,Соленая и копченая рыба,112
651,Полуфабрикаты из рыбы и морепродуктов,112
652,Крабовые палочки и мясо,112
653,Закуски из рыбы и морепродуктов,112
654,Чай,126
655,Кофе,126
656,Какао,126
657,Цикорий,126
658,Детская бакалея,139
659,Мыло детское,147
660,Активные игры,156
661,Средства для интимной гигиены,216
662,Мыло для тела,191
663,Мыло для рук,198
664,Для ванны и туалета,252
665,Для кухни,252
666,Для мебели и ковров,252
667,Для полов,252
668,Для стекол,252
669,Для прочистки труб,252
670,Универсальные средства,252
671,Средства для посудомоечных машин,252
672,Средства для ручного мытья,252
673,Лакомства,345
674,Витамины и пищевые добавки,345
675,Корм для птиц,345
676,Доски и флипчарты,484
677,Аксессуары для офиса,484
678,Фейерверки и салюты,403
679,"Хлопушки, конфетти, серпантин",403
680,"МФУ, принтеры, сканеры",419
681,"Ламинаторы, брошюровщики, резаки",419
682,Уничтожители документов,419
683,Проекторы,419
684,Экраны для проекторов,419
685,Калькуляторы,419
686,Телевизоры,485
687,"DVD, Blu-Ray и медиаплееры",485
688,"Магнитолы, аудиоцентры, CD-проигрыватели",485
689,Акустические системы,485
690,Портативная акустика,485
691,Саундбары,485
692,Домашние кинотеатры,485
693,"Спутниковое, цифровое телевидение",485
694,Наушники и гарнитура,485
695,Микрофоны,485
696,"Аудиоусилители, ресиверы",485
697,Караоке,485
698,"Аксессуары для ТВ, аудио, видео",485
699,Детекторы валют,486
700,Пломбираторы,486
701,Счетчики банкнот,486
702,Светильники и лампы,418
703,"Шкафы, комоды, стеллажи",487
704,"Кровати, матрасы",487
705,Столы,487
706,"Кресла, стулья",487
707,Мягкая мебель,487
708,Детская мебель,487
709,"Сейфы, ящики для денег",487
710,Оформление интерьера,488
711,Ковры,488
712,Аксессуары для ванной комнаты и туалета,269
713,Товары для бани и сауны,269
714,Средства для очистки,502
715,Масла,502
716,Смазочные материалы,502
717,Антифризы и охлаждающие жидкости,502
718,Тормозные жидкости,502
719,Дистиллированная вода,502
720,Герметики,502
721,Холодная сварка,502
722,Преобразователи ржавчины,502
723,Присадки,502
724,Промывки,502
725,Автошампуни,504
726,Уход за салоном,504
727,Уход за стеклами,504
728,Воски и полироли,504
729,Пылесосы,504
730,"Салфетки, полотенца",504
731,Аксессуары для мытья и полировки,504
732,"Чехлы, накидки, заглушки для сидений",505
733,Защита салона от солнца,505
734,Зеркала,505
735,Держатели для телефонов,505
736,Органайзеры и сумки,505
737,"Подушки, валики под шею",505
738,Коврики,505
739,Обустройство салона,505
740,Ароматизаторы и увлажнители,505
741,Перевозка багажа,505
742,Аксессуары для автомобилистов,505
743,Сопутствующие товары,505
744,"Алкотестеры, термометры",506
745,"Зарядные устройства, кабели, переходники",506
746,Аккумуляторы,507
747,Автопроводка и предохранители,507
748,Система зажигания,507
749,Автомобильный свет,507
750,Стеклоочистители,507
751,Внешние дополнительные элементы,507
752,Шины,508
753,Диски,508
754,Компрессоры,508
755,Аксессуары для шиномонтажа,508
756,Автокресла,509
757,Аварийные принадлежности,509
758,"Бокорезы, кусачки, болторезы",514
759,"Струбцины, верстаки, тиски",514
760,Малярный инструмент,514
761,Отвертки,514
762,"Кувалды, молотки, киянки, монтировки",514
763,Плоскогубцы,514
764,"Ножи, ножницы, шилья, лезвия, стеклорезы",514
765,"Степлеры, заклепочники",514
766,"Ножовки, надфили, напильники, стамески, стусло",514
767,Ключи,514
768,"Шпатели, скребки",514
769,Топоры,514
770,Щетки,514
771,"Клещи, зажимы",514
772,Мультитулы,514
773,Наборы ручных инструментов,514
774,Шлифовальные элементы,514
775,Граверы,515
776,"Дрели, шуруповерты, гайковерты",515
777,Лобзики,515
778,Аккумуляторные отвертки,515
779,"Перфораторы, отбойные молотки",515
780,Электропилы,515
781,Краскопульты (распылители),515
782,Рубанки,515
783,"Шлифовальные, полировальные машины",515
784,Фены строительные,515
785,Реноваторы (универсальные стамески),515
786,Заточные станки,515
787,"Пистолеты для клея, пены, герметика",515
788,"Аккумуляторы для инструмента, зарядные устройства",515
789,Сварочное оборудование,516
790,"Генераторы, стабилизаторы напряжения",516
791,Компрессоры,516
792,Мойки высокого давления,517
793,"Хозяйственные пылесосы, мойщики окон",517
794,Детекторы металла (проводки),518
795,Лазерные уровни (нивелиры),518
796,Дальномеры лазерные (рулетки),518
797,Термометры,518
798,Рулетки,518
799,Уровни,518
800,"Мультиметры, видеоэндоскопы",518
801,Тестеры напряжения,518
802,"Линейки, угольники, шнуры",518
803,Тепловентиляторы,519
804,Тепловые пушки,519
805,Тепловые завесы,519
806,Инфракрасные обогреватели,519
807,Аксессуары для утепления,519
808,Бензо и пневмоинструмент,520
809,Наборы автоинструмента,520
810,"Дюбели, дюбель-гвозди, гвозди",521
811,"Саморезы, шурупы",521
812,Хомуты,521
813,Клей,521
814,Герметики,521
815,Монтажная пена,521
816,Монтажные ленты,521
817,"Краска, грунты",522
818,Лаки,522
819,"Растворители, очистители",522
820,Антисептики,522
821,Смесители,523
822,"Душевые гарнитуры, лейки, шланги",523
823,Термостаты,523
824,Водонагреватели,523
825,Инженерная сантехника,523
826,Электросушилки для рук,523
827,"Ящики, полки для инструментов",278
828,Лестницы,278
829,Тележки,278
830,"Канаты, тросы",278
831,"Крюки, карабины",278
832,Клейкие полоски и застежки,278
833,"Крючки, клипсы, вешалки, держатели",278
834,Противогололедные средства,278
835,Фурнитура для дверей,526
836,Фурнитура для окон,526
837,Фурнитура для мебели,526
838,Пылесосы,527
839,Роботы-пылесосы,527
840,Моющие пылесосы,527
841,Пароочистители,527
842,Стеклоочистители,527
843,Минимойки,527
844,Аксессуары для техники,527
845,Стиральные машины,528
846,Сушильные машины,528
847,Утюги,528
848,Парогенераторы,528
849,Отпариватели,528
850,Швейная техника,528
851,Гладильные доски,528
852,Сушилки для белья,528
853,Прочая техника для ухода за одеждой,528
854,Аксессуары для техники,528
855,Кондиционеры,529
856,Вентиляторы,529
857,Обогревательные приборы,529
858,Воздухоочистители,529
859,Очистители и увлажнители воздуха,529
860,Климатические комплексы,529
861,Водонагреватели,529
862,Метеостанции,529
863,Аксессуары для климатической техники,529
864,Холодильники,530
865,Морозильные камеры,530
866,Плиты,530
867,Посудомоечные машины,530
868,Вытяжки,530
869,Винные шкафы,530
870,Кулеры для воды,530
871,Прочая крупная техника для кухни,530
872,Встраиваемые стиральные машины,531
873,Варочные панели,531
874,Духовые шкафы,531
875,Встраиваемые посудомоечные машины,531
876,Встраиваемые холодильники,531
877,Встраиваемые морозильники,531
878,Встраиваемые микроволновые печи,531
879,Вытяжки,531
880,Комплекты,531
881,Прочая встраиваемая техника,531
882,Весы кухонные,532
883,"Грили, аэрогрили",532
884,Йогуртницы,532
885,"Кофеварки, кофемашины",532
886,Кофемолки,532
887,Кухонные весы,532
888,Кухонные комбайны и машины,532
889,Микроволновые печи,532
890,"Миксеры, блендеры",532
891,Минипечи,532
892,Мороженицы,532
893,"Мультиварки, пароварки",532
894,"Мультипекари, электровафельницы",532
895,"Мясорубки, мультирезки",532
896,Паровые конвекционные печи,532
897,Соковыжималки,532
898,Сушилки для овощей и фруктов,532
899,"Тостеры, сэндвич-тостеры, ростеры",532
900,Хлебопечки,532
901,"Электрочайники, термопоты",532
902,Аксессуары для мелкой кухонной техники,532
903,Прочая мелкая техника для кухни,532
904,Приборы для укладки волос,533
905,Эпиляторы,533
906,Фотоэпиляторы,533
907,Электробритвы,533
908,Машинки для стрижки волос,533
909,Триммеры,533
910,Напольные весы,533
911,Медицинские приборы,533
912,Косметические приборы,533
913,Средства защиты от насекомых и грызунов,539
914,Шланги,540
915,"Пистолеты, насадки, дождеватели",540
916,Системы капельного полива,540
917,"Опрыскиватели, лейки",540
918,"Умывальники, садовый душ",540
919,Насосы,540
920,Таймеры для подачи воды,540
921,"Кресла, диваны",541
922,Столы,541
923,Наборы мебели,541
924,"Стулья, табуреты, скамьи, лавки",541
925,"Сараи, ящики для хранения",541
926,"Подушки, пуфы",541
927,"Светильники, подсвечники",542
928,Гамаки,543
929,Шезлонги,543
930,Качели садовые,543
931,"Удобрения, грунты, средства по уходу",544
932,"Семена, саженцы",544
933,"Емкости для рассады, аксессуары для посадки",544
934,"Заборы, ограждения",545
935,"Опоры, арки для растений",545
936,Парники,545
937,"Павильоны, беседки",545
938,Зонты,545
939,"Биотуалеты, аксессуары",545
940,"Горшки, кашпо",546
941,"Балконные ящики, корзины",546
942,Садовые фигуры,546
943,Фонтаны,546
944,Укрывные чехлы,546
945,Скворечники,546
946,"Садовые лопаты, грабли, вилы",547
947,"Топоры, ледорубы",547
948,Инструменты для уборки снега,547
949,"Секаторы, садовые ножницы, ножи, пилы",547
950,"Мотыги, корнеудалители, ручные культиваторы",547
951,"Средства защиты, дождевики",547
952,"Плодосъемники, черенки, рукоятки",547
953,"Посадочные конусы, вилки, садовые совки",547
954,Наборы садовых инструментов,547
955,Садовая техника,547
956,Огнетушители,2100010001
957,"Блесны, приманки, прикормка, насадки",548
958,"Удочки, спиннинги, лески, катушки, крючки",548
959,"Рыболовные наборы, инструменты",548
960,"Рыболовные ящики, контейнеры",548
961,"Садки, подсачеки",548
962,Лодки и аксессуары,548
963,"Маски, трубки для плавания",549
964,Шапочки для плавания,549
965,"Доски, ласты для плавания",549
966,"Надувные матрасы, круги, игрушки",549
967,Бассейны,549
968,Аксессуары для бассейнов,549
969,Велосипеды,550
970,Самокаты,550
971,Скейтборды,550
972,Роликовые коньки,550
973,Скутеры,550
974,Гироскутеры,550
975,Велоаксессуары,550
976,Защитная экипировка,550
977,"Ледянки, тюбинги, санки",551
978,Лыжи,551
979,Снегокаты,551
980,Хоккей,551
981,"Гири, гантели, утяжелители, бодибары",554
