id,subject,body,type
1303,"Посвятите время тому, что любите...",а покупку продуктов мы возьмем на себя 🤗,push
1307,"Посвятите время тому, что любите...",а покупку продуктов мы возьмем на себя 🤗,push
1346,Пора заполнять холодильник ,,push
1347,,,push
1350,Персональная скидка 👇🏼,- 150 рублей по промокоду foryou5,push
1296,,,push
1336,Уважаемые клиенты! ,Минимальная сумма доставки понижена до стандартных настроек от 1500 в зависимости от вашего региона. Приносим извинения за временные неудобства,push
1339,,,push
1342,,,push
1345,Уважаемые клиенты!,"Теперь доступна только онлайн оплата. Берегите себя, оставайтесь дома",push
1389,Обновите приложение и оставайтесь дома,"С заботой, ваш СберМаркет 💚",push
1396,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1405,Пора совершать выгодные покупки 🤩,более 2000 товаров со скидками до 60% ждут вас,push
1407,Пора совершать выгодные покупки 🤩,более 2000 товаров со скидками до 60% ждут вас,push
1411,Пора заполнять холодильник ,,push
1414,,,push
1419,Персональная скидка 👇🏼,- 150 рублей по промокоду foryou5,push
1438,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1445,Cамое время пополнить запасы 🍳,Более 2000 товаров со скидками до 50%,push
1447,Cамое время пополнить запасы 🍳,более 2000 товаров со скидками до 60% ждут вас,push
1451,Пора заполнять холодильник ,,push
1454,,,push
1459,Персональная скидка 👇🏼,- 150 рублей по промокоду foryou5,push
1478,Оставайтесь дома 🏘,Все необходимые продукты привезем мы ,push
1485,,,push
1488,,,push
1547,Теперь доставляем и из Ашана 🚀🚀🚀,"Оставайтесь дома, всё необходимое привезем мы!",push
1516,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1524,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1527,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1535,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1538,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1541,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1554,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1557,,,push
1563,,,push
1566,,,push
1693,,,push
1571,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1576,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1582,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1585,Теперь доставляем и из Мегамарта🚀🚀🚀,"Оставайтесь дома, всё необходимое привезем мы!",push
1590,,,push
1594,,,push
1598,,,push
1609,,,push
1610,,,push
1601,,,push
1604,,,push
1607,,,push
1615,,,push
1618,,,push
1621,,,push
1624,,,push
1627,,,push
1630,,,push
1633,,,push
1638,,,push
1641,,,push
1644,,,push
1647,,,push
1651,,,push
1656,,,push
1672,,,push
1671,,,push
1675,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1680,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1683,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1686,,,push
1689,,,push
1692,,,push
1701,,,push
1704,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1707,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1710,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1713,Доставляем и из Ашана 🚀🚀🚀,"Оставайтесь дома, всё необходимое привезем мы!",push
1716,,,push
1719,,,push
1722,Доставим из Мегамарта 🚛🚛🚛,Продукты приедут к вам очень быстро ,push
1725,,,push
1730,,,push
1733,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1736,,,push
1739,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1743,,,push
1750,,,push
1755,,,push
1758,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1761,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1765,,,push
1768,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1771,,,push
1774,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1777,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1780,,,push
1784,,,push
1785,,,push
1786,,,push
1789,Теперь доставляем и из Ашана 🚀🚀🚀,"Оставайтесь дома, всё необходимое привезем мы!",push
1792,,,push
1795,,,push
1803,,,push
1806,Доставляем и из Ашана 🚛🚛🚛,Продукты приедут к вам очень быстро ,push
1809,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1812,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1815,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1818,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1823,Мы расширили зону доставки 🚀,Теперь любимые товары приедут ещё быстрее!,push
1826,,,push
1829,Теперь доставляем и из Ленты 🚀🚀🚀,Любимые продукты приедут очень быстро,push
1832,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1835,,,push
1838,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1841,,,push
1844,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1847,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1850,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1853,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1856,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1862,,,push
1865,,,push
1868,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1886,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1889,,,push
1892,,,push
1895,,,push
1898,,,push
1904,,,push
1907,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1910,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1914,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1917,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1923,Можете заказать в 1 из любимых магазинов 💚,Выбирайте {{customer.retailer_string}},push
1926,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1930,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
1933,Доставляем продукты из Магнолии 🤩,По всей Москве до МКАД 🥑🍎🧀,push
1936,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1942,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1947,,,push
1950,,,push
1953,Теперь доставляем и из Ашана!,Пора пополнить запасы 🍓🍩🥪,push
1956,Продукты приедут к вам очень быстро 🚀,Теперь привезет ещё из одной Ленты,push
1959,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1962,,,push
1971,,,push
1969,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1974,,,push
1978,,,push
1981,,,push
1985,,,push
1988,,,push
1999,Отличных вам выходных!,💚,push
2003,,,push
2008,,,push
2010,,,push
2012,,,push
2826,,,push
2016,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
2019,Скидки от нас и не только 🤗,Выгодные предложения тут. Посмотрим?,push
2025,,,push
2028,,,push
2046,,,push
2049,Теперь доставляем и из YVES ROCHER 💄✨,Все для ухода и красоты ,push
2052,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2055,,,push
2058,,,push
2061,,,push
2064,,,push
2067,,,push
2070,,,push
2073,,,push
2076,,,push
2079,,,push
2088,,,push
2091,,,push
2094,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2098,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2103,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2106,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2110,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2114,,,push
2118,,,push
2121,,,push
2124,Можете заказать в 1 из любимых магазинов 💚,Выбирайте {{customer.retailer_string}},push
2127,,,push
2130,,,push
2133,,,push
2136,,,push
2139,,,push
2142,,,push
2145,,,push
2148,,,push
2151,,,push
2154,,,push
2157,,,push
2160,,,push
2163,,,push
2166,Закажите в 1 из любимых магазинов 🚀,Выбирайте {{customer.retailer_string}},push
2169,,,push
2173,,,push
2177,,,push
2181,,,push
2185,,,push
2190,,,push
2194,,,push
2198,,,push
2201,,,push
2206,,,push
2210,,,push
2214,,,push
2218,,,push
2222,,,push
2226,,,push
2229,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2233,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2237,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2242,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2248,,,push
2251,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2257,,,push
2260,,,push
2263,,,push
2266,,,push
2272,,,push
2269,,,push
2276,,,push
2279,,,push
2282,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2289,,,push
2290,,,push
2291,,,push
2294,,,push
2297,,,push
2300,,,push
2303,,,push
2306,,,push
2309,,,push
2320,,,push
2323,,,push
2326,,,push
2329,,,push
2332,,,push
2333,,,push
2334,,,push
2340,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2343,Скидки от L’Oreal Paris ✨,"Возможность получить скидку до 60% по коду Loreal, поторопитесь, акция ограничена!",push
2347,,,push
2351,,,push
2356,,,push
2360,,,push
2365,,,push
2369,,,push
2372,,,push
2378,,,push
2381,,,push
2385,,,push
2388,,,push
2391,,,push
2394,,,push
2397,,,push
2400,,,push
2403,,,push
2406,🌧 Дождь для нас не помеха!,Доставим любимые товары прямо до двери,push
2410,Урра! Доставляем и из Дочки-Сыночки 🤗,"Здесь есть все для дома, детские товары, товары для мам. Также в вашем городе доставляем из Ленты и METRO",push
2413,Урра! Доставляем и из Дочки-Сыночки 🤗,"Здесь есть все для дома, детские товары, товары для мам. Также в вашем городе доставляем из Ленты, Ашана и METRO",push
2416,,,push
2419,,,push
2422,,,push
2425,,,push
2428,,,push
2431,,,push
2434,,,push
2437,,,push
2440,,,push
2443,,,push
2446,Доставим продукты вовремя!,Или привезем бесплатно 🚀🚀 Проверим?,push
2449,Доставим продукты вовремя!,Или привезем бесплатно 🚀🚀 Проверим?,push
2452,,,push
2455,"Дешевле, чем на полке🚀 Посмотрите!","Заходите в каталог любимого ритейлера, открывайте раздел «Дешевле, чем на полке», заказывайте товары по самым выгодным ценам",push
2458,"Дешевле, чем на полке🚀 Посмотрите!","Заходите в каталог любимого ритейлера, открывайте раздел «Дешевле, чем на полке», заказывайте товары по самым выгодным ценам",push
2472,Доставим продукты бесплатно 💥💥,В течение 10 дней совершайте заказы на сумму от 2000р и получайте бесплатную доставку,push
2475,Для вас 5 дней бесплатной доставки 🔥,Просто совершите заказ на сумму от 2000р и мы привезем все необходимое бесплатно,push
2480,,,push
2483,,,push
2486,,,push
2489,Вау! Теперь и Дочки-Сыночки 👶,"Доставляем детское питание, одежду, товары для гигиены и творчества. Проверим?",push
2492,Вау! Теперь и Дочки-Сыночки 👶,"Доставляем детское питание, одежду, товары для гигиены и творчества. Проверим?",push
2495,,,push
2498,,,push
2501,,,push
2504,,,push
2507,Бам! Вам скидка 7% 💣,Промокод Back2_7 действует до 14.08 на товары без скидок. Скидка не более 300 рублей. Действуйте ➡️,push
2510,Бам! Вам скидка 10% 💣,Промокод Back2_10 действует до 14.08 на товары без скидок. Скидка не более 300 рублей. Действуйте ➡️,push
2513,🌧️ Вам скидка 7% 💣,Промокод Back7 действует до 14.08 на товары без скидок. Скидка не более 400 рублей. Действуйте ➡️,push
2522,Бам! Вам скидка 10% 💣,Используйте промокод Back10 до 14.08. Размер скидки не более 400 рублей. Действуйте ➡️,push
2528,Бам! Вам скидка 7% 💣,Используйте промокод Back1_7 до 14.08. Размер скидки не более 400 рублей. Действуйте ➡️,push
2534,Бам! Вам скидка 10% 💣,Используйте промокод Back1_10 до 14.08. Размер скидки не более 400 рублей. Действуйте ➡️,push
2540,Мы не роботы и допустили ошибку 🤖,Теперь промокод back1_10 работает и дает скидку 10%. Попробуем?,push
2543,-15% по промокоду NEW15 🎉,+ бесплатная доставка и кэшбек до 1800р с 3 заказов. Готовы? 😋,push
2546,-15% по промокоду NW15 🎉,+ бесплатная доставка и кэшбек до 1800р с 3 заказов. Готовы? 😋,push
2559,,,push
2562,"Начислили {{customer[""15_first charge""]}} рублей за покупку",Выбирайте оплату бонусами в приложении ;),push
2590,,,push
2572,,,push
2588,,,push
2600,Вам {{customer.july_cohort_w34_bonus}} бонусов до 21.08,Используйте бонусы при покупке в приложении 🚀,push
2615,"Вам {{customer[""15_second charge""]}} бонусов за последнюю покупку",Списывайте в приложении при оформлении заказа. Удачных покупок 🍌,push
2623,"{{customer[""15_third charge""]}} бонусов на покупки",Это за прошлую покупку ☺ Применяйте в приложении ➡️,push
2641,,,push
2644,,,push
2649,,,push
2654,Вам начислено 200 бонусов до 25.08,Используйте бонусы при покупке в приложении и получайте кэшбэк 🚀,push
2655,Успели использовать 200 бонусов? 🔥,"Бонусы активны до 25.08, используйте при покупке в приложении и получайте кэшбэк ",push
2659,А вы успели получить скидку?🚀,"Вам было начислено 200 бонусов, используйте до 25.08 при покупке в приложении и получайте кэшбэк ",push
2662,,,push
2665,150 бонусов на покупки 🔥🔥🔥,Это за прошлую покупку! Применяйте в приложении ➡️,push
2674,Успейте использовать 150 бонусов 🔥,"Осталось 6 дней, примените бонусы в приложении и получите кэшбек на следующую покупку ",push
2677,Пора использовать 150 бонусов 🚀,"Осталось 3 дня, примените бонусы в приложении и получите кэшбек на следующую покупку ",push
2682,250 бонусов на покупки 🔥🔥🔥,Это за прошлую покупку! Применяйте в приложении ➡️,push
2688,Успейте использовать 250 бонусов 🔥,"Осталось 6 дней, примените бонусы в приложении и получите кэшбек на следующую покупку ",push
2692,Пора использовать 250 бонусов 🚀,"Осталось 3 дня, примените бонусы в приложении и получите кэшбек на следующую покупку ",push
2699,350 бонусов на покупки 🔥🔥🔥,Это за прошлую покупку! Применяйте в приложении ➡️,push
2705,Успейте использовать 350 бонусов 🔥,"Осталось 6 дней, примените бонусы в приложении и получите кэшбек на следующую покупку ",push
2709,Пора использовать 350 бонусов 🚀,"Осталось 3 дня, примените бонусы в приложении и получите кэшбек на следующую покупку ",push
2716,Вам начислено 150 бонусов до 27.08,Используйте бонусы при покупке в приложении и получайте кэшбэк 🚀,push
2719,А вы успели получить скидку?🚀,"Вам было начислено 150 бонусов, используйте до 27.08 при покупке в приложении и получайте кэшбэк ",push
2729,Вам начислено 200 бонусов до 27.08,Используйте бонусы при покупке в приложении и получайте кэшбэк 🚀,push
2735,А вы успели получить скидку?🚀,"Вам было начислено 200 бонусов, используйте до 27.08 при покупке в приложении и получайте кэшбэк ",push
2742,Вам начислено 200 бонусов до 27.08,Используйте бонусы при покупке в приложении и получайте кэшбэк 🚀,push
2748,А вы успели получить скидку?🚀,"Вам было начислено 200 бонусов, используйте до 27.08 при покупке в приложении и получайте кэшбэк ",push
2755,Вам доступен магазин «У Палыча»,Пора себя порадовать🍩🎂🧁,push
2758,Теперь вам доступен и Home Market 🏘,Заказывайте товары для дома по низким ценам,push
2761,,,push
2762,,,push
2764,,,push
2765,,,push
2768,,,push
2769,,,push
2772,,,push
2773,,,push
2774,,,push
2789,Промокод Минус250 до 28.08 ☀️,"Выбирайте любимые товары, мы все соберем и привезем. Действует на чек от 2500р. ",push
2798,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2801,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2804,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2807,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2810,,,push
2813,,,push
2831,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2835,,,push
2837,,,push
2845,Уделите время главному,А мы доставим любимые товары. Хороших выходных 😉,push
2847,Провожаем лето с выгодой 200р,Промокод Лето20 от 2000р до 31.08 ➡️,push
2850,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2853,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2860,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
2862,,,push
2864,,,push
2865,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
